ts,Ayato Hidaka,Ayumu Shinonome,Boss,Chigaya Meguro,Daichi Katsuragi,Dui,Eiichi Matsunaga,Eisuke Ichinomiya,Hideki Ishigami,Hiroshi Kirisawa,Huedhaut,Hyogo Kaga,Jun Araki,Karno,Kazuomi Shido,Kei Soejima,Kunihiro Kasai,Kyohei Rikudoh,Leon,Mad Hatter,Mamoru Kishi,Masashi Himuro,Minoru Tsujimoto,Mitsunari Baba,Munechika Takado,Reo Kuzume,Scorpio,Seiji Goto,Sentaro Kyogoku,Shu Hasunuma,Shunichiro Tachibana,Soji Okita,Soryu Oh,Takamune Kitami,Takaomi Tsugaru,Taki Kozaki,Takuto Hirukawa,Tauxolouve,Tetsuya Hosho,Togo Daimon,Toma Kiriya,Toru Kurosawa,Toshiki Kasumi,Tsubaki Iriyama,Tsumugu Kido,Ukyo Senkawa,Yamato Kougami,Yosuke Sagara,Yuzuru Shiba,Zyglavis
2025-11-12 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12 07:00:00+00:00,2.0,4.0,0.0,2.0,0.0,14.0,2.0,210.0,3894.0,0.0,2.0,2.0,40.0,1660.0,40.0,2.0,4.0,2.0,72.0,6.0,2.0,200.0,42.0,2.0,0.0,4.0,6.0,44.0,32.0,2.0,94.0,3040.0,4706.0,26.0,2.0,50.0,4.0,4.0,2.0,164.0,2.0,2.0,446.0,2.0,14.0,2.0,18.0,0.0,42.0,18.0
2025-11-12 08:00:00+00:00,0.0,52.0,0.0,46.0,0.0,2584.0,0.0,242.0,0.0,0.0,2.0,0.0,20.0,3004.0,1000.0,0.0,22.0,100.0,2.0,0.0,0.0,1060.0,6.0,0.0,0.0,0.0,64.0,100.0,0.0,0.0,0.0,46.0,234.0,44.0,20.0,0.0,32.0,2.0,0.0,90.0,4.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,1044.0,272.0
2025-11-12 09:00:00+00:00,0.0,0.0,194.0,408.0,4.0,2.0,0.0,1350.0,406.0,10.0,8.0,6.0,0.0,14.0,206.0,4.0,404.0,2.0,2.0,4.0,10.0,0.0,4.0,4.0,0.0,2.0,24.0,8.0,200.0,0.0,8.0,1000.0,238.0,0.0,4.0,4.0,0.0,3990.0,720.0,12.0,4.0,0.0,4.0,0.0,8110.0,2.0,0.0,2.0,4.0,2.0
2025-11-12 10:00:00+00:00,0.0,0.0,0.0,2.0,10.0,0.0,180.0,24.0,350.0,2.0,0.0,0.0,80.0,60.0,62.0,2780.0,0.0,0.0,0.0,80.0,0.0,10.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,42.0,0.0,2.0,2.0,42.0,0.0,1222.0,2.0,8192.0,0.0,0.0,1262.0,2.0,810.0
2025-11-12 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,2.0,2994.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,600.0,42.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,162.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0
2025-11-12 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12 14:00:00+00:00,4.0,12.0,22.0,4044.0,2.0,40.0,0.0,76.0,434.0,4.0,100.0,1188.0,28.0,2204.0,5760.0,8.0,28.0,2830.0,0.0,28.0,6.0,10.0,648.0,18.0,82.0,336.0,64.0,1030.0,0.0,132.0,168.0,2.0,40.0,2.0,20.0,12.0,10.0,0.0,0.0,42.0,4016.0,20.0,572.0,6.0,12.0,12.0,24.0,0.0,8.0,572.0
2025-11-12 15:00:00+00:00,20.0,10.0,10.0,690.0,10.0,20.0,10.0,796.0,40.0,40.0,20.0,10.0,44.0,40.0,0.0,10.0,150.0,40.0,22.0,10.0,140.0,20.0,30.0,140.0,40.0,22.0,52.0,40.0,10.0,20.0,52.0,30.0,170.0,10.0,10.0,24.0,10.0,52.0,20.0,20.0,10.0,10.0,20.0,20.0,70.0,702.0,20.0,10.0,10.0,10.0
2025-11-12 16:00:00+00:00,0.0,2.0,2.0,0.0,0.0,0.0,400.0,4.0,300.0,0.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,16.0,48.0,48.0,202.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,40.0,400.0,0.0,86.0,0.0,0.0,560.0,4.0,0.0,0.0,2.0,2.0,0.0,160.0,0.0,2.0,0.0,2.0,200.0,482.0,350.0
2025-11-12 17:00:00+00:00,52.0,0.0,0.0,12.0,0.0,40.0,12.0,92.0,560.0,0.0,80.0,12.0,14.0,4002.0,12.0,14.0,14.0,60.0,0.0,38.0,12.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,92.0,82.0,4.0,240.0,340.0,0.0,0.0,0.0,24.0,2.0,1084.0,120.0,50.0,0.0,0.0,12.0,0.0,806.0
2025-11-12 18:00:00+00:00,0.0,2.0,2.0,60.0,0.0,520.0,0.0,74.0,0.0,82.0,2.0,1022.0,12.0,0.0,0.0,7200.0,2.0,0.0,2.0,306.0,2.0,0.0,0.0,2.0,42.0,2.0,18.0,0.0,2.0,0.0,0.0,14.0,80.0,210.0,2.0,2.0,820.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0
2025-11-12 19:00:00+00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,62.0,0.0,0.0,2.0,140.0,5996.0,14.0,0.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1282.0,2.0,0.0,50.0,824.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1262.0,0.0,4.0,20.0,10.0,16972.0
2025-11-12 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1672.0,26.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,10.0,6.0,2.0,0.0,22.0,16.0,0.0,2.0,12.0,200.0,214.0,0.0,212.0,62.0,0.0,0.0,20.0,0.0,260.0,16.0,38.0,520.0,196.0,0.0,0.0,12.0,200.0,0.0,0.0,0.0,12.0,10.0,12.0,2.0
2025-11-12 21:00:00+00:00,0.0,0.0,0.0,0.0,4.0,120.0,0.0,12.0,0.0,34.0,0.0,0.0,188.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,280.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,110.0,0.0,80.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,144.0
2025-11-12 22:00:00+00:00,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,0.0,12.0,0.0,12.0,10.0,0.0,0.0,0.0,1002.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0,10.0,970.0,0.0,222.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0
2025-11-12 23:00:00+00:00,8.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1068.0,0.0,0.0,200.0,0.0,5996.0,0.0,0.0,8.0,90.0,16.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,6.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,130.0,2.0
2025-11-13 00:00:00+00:00,8.0,0.0,0.0,4.0,0.0,0.0,0.0,198.0,0.0,0.0,4.0,2.0,2.0,2.0,60.0,0.0,2.0,30.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,694.0,2.0,0.0,10.0,0.0,6.0,8.0,0.0,0.0,6.0,96.0,0.0,0.0,12.0,6.0,0.0,6.0,0.0,22.0,4.0,0.0,0.0,10.0,38.0
2025-11-13 01:00:00+00:00,0.0,0.0,0.0,0.0,10.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,4.0,280.0,0.0,80.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,84.0,12.0,140.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2025-11-13 02:00:00+00:00,2.0,0.0,0.0,0.0,2.0,10.0,0.0,6.0,2.0,2.0,2.0,0.0,32.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,20.0,2.0,0.0,2.0,2.0,2.0,22.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,172.0,0.0,2.0,2.0,80.0,60.0,2.0,2.0
2025-11-13 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,230.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,4.0,0.0,0.0,0.0
2025-11-13 04:00:00+00:00,602.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,840.0
2025-11-13 05:00:00+00:00,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,18.0,0.0,0.0,0.0,1686.0,5994.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,800.0,2.0,2.0,10.0
2025-11-13 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-13 07:00:00+00:00,0.0,0.0,0.0,122.0,10.0,0.0,0.0,90.0,10.0,10.0,0.0,40.0,0.0,0.0,10.0,10.0,172.0,0.0,0.0,80.0,94.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,20.0,212.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,20.0,0.0,0.0,450.0,20.0,16.0,0.0
2025-11-13 08:00:00+00:00,0.0,8.0,0.0,120.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2025-11-13 09:00:00+00:00,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,84.0,138.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,84.0,1340.0
2025-11-13 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,358.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,242.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2025-11-13 11:00:00+00:00,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2025-11-13 12:00:00+00:00,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,0.0,20.0,0.0,14.0,0.0,1020.0,14.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0,18.0,20.0,0.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,94.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0
2025-11-13 13:00:00+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,60.0,0.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,30.0,0.0,2.0,4.0,64.0,2.0
2025-11-13 14:00:00+00:00,0.0,0.0,2.0,28.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,60.0,2.0,2.0,30.0,0.0,2.0,2.0,2.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,28.0,2.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,344.0,0.0
2025-11-13 15:00:00+00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5994.0,0.0,0.0,1000.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2025-11-13 16:00:00+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,118.0,0.0,0.0,2.0,5994.0,4.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,202.0,0.0,0.0,0.0,30.0,40.0,0.0,12.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,280.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0
2025-11-13 17:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,513.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-13 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,60.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
2025-11-13 19:00:00+00:00,1.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,2.0,45.0,1.0,0.0,1.0,1.0,9.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,23.0,3.0,6.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0
2025-11-13 20:00:00+00:00,0.0,0.0,0.0,200.0,0.0,0.0,0.0,421.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,100.0
2025-11-13 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0
2025-11-13 22:00:00+00:00,10.0,10.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,0.0,5.0,1.0,0.0,13.0,0.0,10.0,30.0,11.0,10.0,0.0,20.0,0.0,1.0,0.0,20.0,0.0,11.0,0.0,10.0,10.0,1.0,10.0,0.0,21.0,0.0,0.0,5.0,1.0,5.0,0.0,1.0,3.0,12.0,20.0,0.0,0.0,0.0
2025-11-13 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,1.0
2025-11-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-11-14 04:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14 05:00:00+00:00,9.0,0.0,1.0,9.0,0.0,0.0,1.0,91.0,0.0,0.0,1.0,0.0,3.0,3.0,12.0,6.0,3.0,0.0,1.0,26.0,1.0,0.0,2.0,5.0,1.0,1.0,2.0,40.0,0.0,8.0,32.0,3.0,12.0,7.0,16.0,15.0,34.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,69.0,0.0,10.0,5.0
2025-11-14 06:00:00+00:00,26.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,90.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,90.0,0.0,35.0,30.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,102.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,11.0,0.0,1.0,0.0
2025-11-14 07:00:00+00:00,0.0,0.0,0.0,0.0,40.0,1287.0,0.0,183.0,0.0,111.0,0.0,0.0,11.0,0.0,101.0,0.0,1.0,0.0,35.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,32.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-14 08:00:00+00:00,1.0,1.0,1.0,80.0,0.0,0.0,0.0,45.0,0.0,222.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,40.0,0.0,6.0,0.0,0.0,1.0,36.0,0.0,0.0,2.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0
2025-11-14 09:00:00+00:00,1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.0,11.0,0.0,1.0,2.0,45.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,42.0,1.0,0.0,1.0,0.0,1.0,0.0,22.0,1.0,100.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,310.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0
