ts,ボス,一ノ宮英介,世良桜太朗,久遠開生,五十嵐恒太,京極千太郎,京橋克之,入山椿,八千草瑛希,加賀兵吾,加賀美和巳,司波譲,吾川映太郎,大門十護,天王寺豊,宝生哲也,廣瀬遼一,後藤誠二,木場蔵之介,東雲歩,桐沢洋,桐谷冬馬,橘駿一朗,氷室征司,江國楓,津軽高臣,添島啓,獅堂和臣,白藤葵,百千高嶺,相原恒星,石神秀樹,神堂春,窓鈴虫,紅崎瀧,荒城准,菱川郁,葛目玲生,蓮沼修,蘭堂駿,蛭川拓斗,辻本稔,野村忠信,間宮春一,難波仁,霞俊希,颯馬周介,高堂宗近,鴻上大和,黒澤透
2025-11-26 18:00:01.137535+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26 19:00:01.598639+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2025-11-26 20:00:01.910789+00:00,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-26 21:00:01.167803+00:00,0.0,0.0,0.0,0.0,6.0,0.0,0.0,451.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26 22:00:01.504051+00:00,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,60.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,859.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
2025-11-26 23:00:01.901044+00:00,0.0,103.0,29.0,0.0,0.0,2.0,0.0,26.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,31.0,50.0,104.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,22.0,107.0,3.0,0.0,0.0,0.0,1.0,92.0,0.0,0.0,2.0,0.0,1.0,13.0,0.0
2025-11-27 00:00:01.122009+00:00,1.0,2.0,1.0,0.0,0.0,0.0,0.0,104.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,104.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,5.0
2025-11-27 01:00:01.447630+00:00,0.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2025-11-27 02:00:01.291959+00:00,0.0,100.0,0.0,0.0,0.0,5.0,0.0,100.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,1.0,101.0,0.0,0.0,100.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-27 03:00:01.387123+00:00,0.0,1.0,0.0,0.0,0.0,502.0,0.0,12.0,0.0,93.0,0.0,0.0,0.0,184.0,0.0,0.0,1.0,0.0,0.0,872.0,0.0,0.0,20.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-27 04:00:01.913827+00:00,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
2025-11-27 06:19:48.515005+00:00,0.0,136.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,52.0,1.0,0.0
2025-11-27 07:11:28.337803+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,51.0,50.0,0.0,0.0,0.0,0.0,96.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0
2025-11-27 08:19:03.606839+00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,634.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,915.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2025-11-27 09:00:03.594237+00:00,0.0,0.0,0.0,0.0,4.0,0.0,0.0,508.0,1.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,142.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.0,0.0,0.0
2025-11-27 10:00:04.570460+00:00,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,291.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,606.0,63.0,1.0,1.0,0.0,0.0,206.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,401.0,0.0,10.0,2.0,184.0,1.0,0.0,1.0,501.0,0.0,0.0,0.0,100.0
2025-11-27 11:00:03.893937+00:00,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,3.0,0.0,1.0,1.0,0.0,95.0,2.0,0.0,12.0,1.0,0.0,335.0,1.0,1.0,17.0,46.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,2.0,0.0,48.0,1.0,3.0,0.0,20.0,403.0,51.0,0.0,0.0,51.0
2025-11-27 12:00:03.399936+00:00,2.0,2.0,5.0,0.0,3.0,570.0,1.0,97.0,0.0,197.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2052.0,0.0,312.0,101.0,1.0,2.0,0.0,0.0,312.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,52.0,0.0,0.0,47.0,51.0,0.0,5.0,2.0,0.0,0.0,27.0,1342.0,100.0,0.0,3.0
2025-11-27 13:00:03.499481+00:00,0.0,206.0,1.0,2.0,1.0,5.0,0.0,377.0,20.0,4620.0,0.0,13.0,0.0,18.0,12.0,1.0,629.0,77.0,10.0,1040.0,16.0,0.0,1075.0,11.0,100.0,1111.0,151.0,20.0,2.0,103.0,0.0,29.0,1.0,1.0,10.0,152.0,116.0,112.0,16.0,2.0,0.0,264.0,55.0,0.0,5.0,58.0,512.0,11.0,1.0,5.0
2025-11-27 14:00:03.847444+00:00,0.0,103.0,0.0,0.0,0.0,4.0,5.0,1.0,3.0,675.0,0.0,150.0,0.0,203.0,5.0,3.0,0.0,344.0,2.0,29.0,405.0,2.0,302.0,4.0,2.0,5066.0,302.0,0.0,0.0,300.0,0.0,31.0,0.0,0.0,1.0,62.0,0.0,1.0,2.0,1.0,0.0,646.0,421.0,0.0,92.0,103.0,1491.0,66.0,192.0,15.0
2025-11-27 15:00:03.679570+00:00,4.0,15.0,0.0,0.0,0.0,300.0,100.0,4.0,0.0,206.0,0.0,1.0,0.0,251.0,0.0,310.0,557.0,2.0,0.0,302.0,12.0,0.0,684.0,2.0,0.0,2083.0,221.0,201.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,201.0,0.0,507.0,203.0,0.0,0.0,1.0,14.0,0.0,0.0,501.0,0.0,301.0,6.0,0.0
2025-11-27 16:00:04.069659+00:00,1.0,22.0,2.0,0.0,1.0,11.0,1.0,100.0,0.0,524.0,0.0,92.0,0.0,51.0,0.0,2.0,111.0,55.0,0.0,51.0,5.0,3.0,1.0,4.0,0.0,14.0,51.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,26.0,25.0,21.0,0.0,0.0,131.0,9.0,0.0,0.0,112.0,0.0,14.0,9.0,0.0
2025-11-27 17:00:04.126631+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,102.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,101.0,0.0,107.0,0.0,2.0,2.0,0.0,0.0,403.0,1.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,350.0,1.0,1.0,2.0,11.0
2025-11-27 18:00:03.100385+00:00,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
2025-11-27 19:00:03.171726+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-27 20:00:03.964831+00:00,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0
2025-11-27 21:00:03.348575+00:00,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-27 22:00:03.421568+00:00,2.0,1699.0,141.0,2.0,1.0,1.0,1.0,155.0,1.0,12.0,1.0,207.0,1.0,1.0,11.0,2.0,2.0,15.0,3.0,7.0,2.0,2.0,4.0,1.0,1.0,152.0,155.0,267.0,1.0,6.0,1.0,2.0,2.0,1.0,12.0,4.0,152.0,151.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,1.0
2025-11-27 23:00:03.572811+00:00,50.0,96.0,1.0,1.0,0.0,4.0,0.0,23.0,0.0,1.0,1.0,11.0,0.0,51.0,0.0,0.0,10.0,21.0,0.0,50.0,10.0,1.0,390.0,49.0,0.0,59.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,129.0,10.0,324.0,50.0,0.0,0.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0
2025-11-28 00:00:03.158448+00:00,3.0,0.0,0.0,0.0,0.0,50.0,0.0,102.0,0.0,743.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,108.0,0.0,0.0,10.0,1.0,0.0,58.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,100.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,53.0,0.0,0.0
2025-11-28 01:00:03.359511+00:00,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,66.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2025-11-28 02:00:02.878916+00:00,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,100.0,0.0,0.0,1217.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,62.0,1095.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,1.0,300.0,0.0,0.0,300.0
2025-11-28 03:00:03.712795+00:00,0.0,0.0,0.0,0.0,363.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,883.0,1785.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2025-11-28 04:00:03.527201+00:00,1.0,3.0,1.0,1.0,677.0,1.0,1.0,1.0,92.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,2.0,281.0,1.0,1.0,1.0,1.0,101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,101.0,1.0,1.0,1.0,1.0
2025-11-28 05:00:03.628214+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 06:00:03.169019+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,841.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 07:00:05.584812+00:00,0.0,9.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,101.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,190.0,3.0,100.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1000.0,1.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2025-11-28 08:00:03.702048+00:00,0.0,102.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,146.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 09:00:03.291849+00:00,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,48.0,1.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,21.0,2.0,10.0,0.0,0.0
2025-11-28 10:00:04.167585+00:00,0.0,3.0,2.0,0.0,0.0,20.0,0.0,133.0,0.0,55.0,0.0,0.0,0.0,101.0,0.0,4.0,139.0,2.0,0.0,10.0,0.0,0.0,52.0,0.0,4.0,303.0,722.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,51.0,101.0,201.0,0.0,1.0,0.0,201.0,0.0,2.0,92.0,160.0,0.0,154.0,0.0,0.0
2025-11-28 11:00:03.469323+00:00,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,13.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0
2025-11-28 12:00:04.015339+00:00,1.0,7.0,20.0,0.0,0.0,0.0,0.0,38.0,0.0,14.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,284.0,1.0,12.0,13.0,17.0,73.0,8.0,0.0,299.0,93.0,25.0,0.0,6.0,0.0,5.0,0.0,1.0,7.0,11.0,59.0,9.0,16.0,0.0,0.0,2456.0,2.0,0.0,6.0,1.0,0.0,20.0,5.0,0.0
2025-11-28 13:00:03.464441+00:00,0.0,116.0,5.0,0.0,0.0,10.0,0.0,14.0,0.0,151.0,0.0,782.0,0.0,63.0,0.0,20.0,3.0,9.0,50.0,212.0,0.0,0.0,101.0,6.0,0.0,298.0,0.0,6.0,0.0,0.0,0.0,301.0,1.0,0.0,0.0,250.0,10.0,21.0,55.0,0.0,1.0,5.0,83.0,0.0,0.0,10.0,0.0,10.0,10.0,50.0
2025-11-28 14:00:03.451378+00:00,0.0,1255.0,4.0,1.0,0.0,0.0,0.0,200.0,10.0,126.0,0.0,100.0,0.0,104.0,10.0,0.0,2.0,1004.0,50.0,26.0,3.0,0.0,4.0,13.0,0.0,1241.0,0.0,100.0,0.0,35.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,20.0,20.0,0.0,0.0,24.0,111.0,0.0,1.0,0.0,10.0,168.0,1.0,0.0
2025-11-28 15:00:03.912768+00:00,0.0,7.0,1.0,0.0,810.0,500.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,13.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,92.0,0.0,0.0,331.0,360.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2025-11-28 16:00:03.483402+00:00,0.0,33.0,0.0,0.0,0.0,1.0,0.0,102.0,3.0,15.0,0.0,0.0,0.0,101.0,0.0,338.0,1.0,21.0,0.0,2.0,0.0,1.0,9.0,1.0,0.0,171.0,3.0,4.0,0.0,0.0,0.0,62.0,0.0,4.0,101.0,201.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,91.0,0.0,11.0,0.0,1.0,20.0,0.0
